Animal name,Sessions,Tetrode,Cell
Joppe,2011-03-28_17-57-41 ,5,6,
Joppe,2011-03-29_10-31-16 ,5,3,
Joppe,2011-03-29_13-19-17 ,4,1,
Joppe,2011-03-29_13-19-17 ,5,5,
Joppe,2011-03-29_15-58-03 ,2,4,
Joppe,2011-03-29_15-58-03 ,3,1,
Joppe,2011-03-29_15-58-03 ,4,3,
Joppe,2011-03-29_15-58-03 ,5,4,
Joppe,2011-03-29_15-58-03 ,5,5,
Joppe,2011-03-29_18-32-32 ,4,2,
Joppe,2011-03-29_18-32-32 ,5,3,
Joppe,2011-03-29_18-32-32 ,5,5,
Joppe,2011-03-30_10-04-47 ,3,1,
Joppe,2011-03-30_10-04-47 ,4,2,
Joppe,2011-03-30_15-26-15 ,1,4,
Joppe,2011-03-30_15-26-15 ,1,6,
Joppe,2011-03-30_15-26-15 ,3,3,
Joppe,2011-03-30_15-26-15 ,4,3,
Joppe,2011-03-30_15-26-15 ,4,5,
Joppe,2011-03-30_15-26-15 ,5,2,
Joppe,2011-03-30_15-26-15 ,5,3,
Joppe,2011-03-30_15-26-15 ,5,5,
Joppe,2011-03-30_17-42-28 ,4,2,
Joppe,2011-03-30_17-42-28 ,4,3,
